Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20233018,QLD,5,2023,Tuesday,7:00,Multiple,1,No,Yes,No,50,Major Cities of Australia,Brisbane Inner City,Brisbane,Local Road,No,No,Weekday,Day
20231141,NSW,5,2023,Saturday,22:00,Single,1,No,No,No,100,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road,No,No,Weekend,Night
20232039,VIC,5,2023,Friday,18:05,Single,1,No,No,No,100,Unknown,Unknown,Unknown,Arterial Road,No,No,Weekend,Night
20233174,QLD,5,2023,Saturday,20:00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Murweh,Sub-arterial Road,No,No,Weekend,Night
20234068,SA,5,2023,Friday,11:03,Single,2,No,No,No,110,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,Weekday,Day
20233065,QLD,5,2023,Monday,11:00,Multiple,1,No,No,No,100,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,Sub-arterial Road,No,No,Weekday,Day
20235010,WA,5,2023,Thursday,1:11,Single,1,No,Yes,No,110,,,,,No,No,Weekday,Night
20232153,VIC,5,2023,Monday,22:40,Multiple,2,No,No,No,70,Unknown,Unknown,Unknown,Sub-arterial Road,No,No,Weekday,Night
20231134,NSW,5,2023,Friday,11:39,Single,1,No,No,No,100,Outer Regional Australia,Central West,Mid-Western Regional,National or State Highway,No,No,Weekday,Day
20231096,NSW,5,2023,Wednesday,18:55,Multiple,1,No,No,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway,No,No,Weekday,Night
20236008,TAS,5,2023,Thursday,19:35,Multiple,1,No,No,No,110,Outer Regional Australia,West and North West,Central Coast (TAS.),National or State Highway,No,No,Weekday,Night
20233088,QLD,5,2023,Tuesday,5:00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,No,No,Weekday,Night
20233119,QLD,5,2023,Thursday,20:00,Single,1,No,No,No,100,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,No,No,Weekday,Night
20235074,WA,5,2023,Wednesday,9:30,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20236010,TAS,5,2023,Thursday,21:39,Multiple,1,No,No,No,70,Inner Regional Australia,Hobart,Clarence,National or State Highway,No,No,Weekday,Night
20234011,SA,5,2023,Thursday,21:56,Single,1,No,No,No,80,Inner Regional Australia,Adelaide - North,Playford,Collector Road,No,No,Weekday,Night
20232113,VIC,5,2023,Monday,19:49,Single,1,No,No,No,100,Inner Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road,No,No,Weekday,Night
20233059,QLD,5,2023,Tuesday,5:00,Multiple,1,No,No,No,100,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,No,No,Weekday,Night
20233171,QLD,5,2023,Wednesday,2:00,Single,1,No,No,Yes,100,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway,No,No,Weekday,Night
20232103,VIC,5,2023,Friday,11:45,Multiple,1,No,No,No,100,Unknown,Unknown,Unknown,National or State Highway,No,No,Weekday,Day
20232170,VIC,5,2023,Wednesday,17:49,Multiple,1,No,No,Yes,100,Unknown,Unknown,Unknown,National or State Highway,No,No,Weekday,Day
20232132,VIC,5,2023,Tuesday,15:03,Multiple,1,No,No,Yes,80,Major Cities of Australia,Melbourne - South East,Casey,Sub-arterial Road,No,No,Weekday,Day
20233152,QLD,5,2023,Wednesday,1:00,Single,1,No,No,No,100,Major Cities of Australia,Brisbane - West,Brisbane,Sub-arterial Road,No,No,Weekday,Night
20233023,QLD,5,2023,Friday,3:00,Single,1,No,No,No,90,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway,No,No,Weekday,Night
20231137,NSW,5,2023,Thursday,19:00,Single,1,No,No,No,80,Inner Regional Australia,Mid North Coast,Kempsey,Local Road,No,No,Weekday,Night
20235045,WA,5,2023,Wednesday,19:50,Single,1,No,No,No,60,,,,,No,No,Weekday,Night
20235080,WA,5,2023,Thursday,19:00,Single,1,No,No,Yes,-9,,,,,No,No,Weekday,Night
20231165,NSW,5,2023,Thursday,18:40,Multiple,1,No,No,No,50,Inner Regional Australia,Murray,Federation,Local Road,No,No,Weekday,Night
20232142,VIC,5,2023,Wednesday,18:20,Multiple,1,No,Yes,No,100,Unknown,Unknown,Unknown,National or State Highway,No,No,Weekday,Night
20233039,QLD,5,2023,Tuesday,2:00,Multiple,1,No,No,No,100,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road,No,No,Weekday,Night
